Listing Name,Price,Room Type,Reviews,Location
"BEST DEAL IN BROOKLYN, FULL SIZE BD",41,Private room,49 reviews,"East New York, Brooklyn"
Option of 2 Full Beds + Roof Deck,52,Private room,80 reviews,"Bushwick, Brooklyn"
"Modern, Well-Appointed Room in NYC!",59,Private room,65 reviews,"Bedford-Stuyvesant, Brooklyn"
Huge Sunny Apt Hip/Family Area,45,Private room,6 reviews,"Clinton Hill, Brooklyn"
Comfy bed in friendly Homestel #C,30,Shared room,24 reviews,"Bedford-Stuyvesant, Brooklyn"
Lively loft!,44,Private room,68 reviews,"Williamsburg, Brooklyn"
Heart of Williamsburg. Brand New.,62,Private room,100 reviews,"Williamsburg, Brooklyn"
Spacious Park Slope brownstone,122,Entire home/apt,6 reviews,"Park Slope, Brooklyn"
"Huge Brooklyn Loft w/Deck, NYC View",59,Private room,40 reviews,"Bedford-Stuyvesant, Brooklyn"
The Real Cool Large Private Deal,199,Entire home/apt,90 reviews,"Williamsburg, Brooklyn"
Loft 15min. to Manhattan,89,Entire home/apt,24 reviews,"Bushwick, Brooklyn"
Lofty Townhouse Duplex w/ Roof Deck,153,Entire home/apt,47 reviews,"Park Slope, Brooklyn"
Sunny Delight with Free Bikes!,54,Private room,3 reviews,"Clinton Hill, Brooklyn"
"Cozy, Cute and Convenient Nook!",59,Private room,46 reviews,"Boerum Hill, Brooklyn"
#3~Studio Suite-10 mins Manhattan!,90,Entire home/apt,39 reviews,"Clinton Hill, Brooklyn"
Roof-Top Room in Williamsburg,119,Entire home/apt,216 reviews,"Williamsburg, Brooklyn"
Light+Open+Airy+Rustic+Modern Loft,136,Entire home/apt,154 reviews,"Williamsburg, Brooklyn"
Sun filled 2BR in BedStuy Townhouse,99,Entire home/apt,41 reviews,"Bedford-Stuyvesant, Brooklyn"
Bright & Happy Room on L Train,44,Private room,12 reviews,"Bushwick, Brooklyn"
"Cozy room, great view of Manhattan",86,Private room,36 reviews,"Brooklyn Navy Yard, Brooklyn"
XL Fort Greene Garden Apt,99,Private room,16 reviews,"Fort Greene, Brooklyn"
Private room25 min from time square,32,Private room,3 reviews,"Bushwick, Brooklyn"
Private Flat Greenpoint Brooklyn,99,Entire home/apt,29 reviews,"Greenpoint, Brooklyn"
Modern Bedroom in Williamsburg Loft,80,Private room,37 reviews,"Williamsburg, Brooklyn"
Garden Apt / Fort Greene Brownstone,212,Entire home/apt,73 reviews,"Fort Greene, Brooklyn"
Northside Williamsburg Brooklyn Sm,50,Private room,1 review,"Williamsburg, Brooklyn"
